Programming languages for Australia,Count,Percentage
Python,23.0,71.875
R,12.0,37.5
SQL,8.0,25.0
C++,7.0,21.875
C,6.0,18.75
JavaScript,6.0,18.75
Fortran,6.0,18.75
Julia,4.0,12.5
Perl,3.0,9.375
Java,3.0,9.375
PHP,2.0,6.25
Assembly,2.0,6.25
Groovy,1.0,3.125
Rust,1.0,3.125
Matlab,1.0,3.125
Ruby,0.0,0.0
Smalltalk,0.0,0.0
TypeScript,0.0,0.0
VB.NET,0.0,0.0
VBA,0.0,0.0
Scala,0.0,0.0
Visual Basic,0.0,0.0
other. What programming languages do you use at work? Please select all that apply. ,0.0,0.0
CUDA,0.0,0.0
FORTRAN,0.0,0.0
"Markup languages (HTML, markdown,..)",0.0,0.0
Swift,0.0,0.0
,0.0,0.0
Objective-C,0.0,0.0
Lua,0.0,0.0
Haskell,0.0,0.0
Hack,0.0,0.0
Go,0.0,0.0
F#,0.0,0.0
Erlang,0.0,0.0
Elixir,0.0,0.0
Dart,0.0,0.0
Common Lisp,0.0,0.0
CoffeeScript,0.0,0.0
Clojure,0.0,0.0
C#,0.0,0.0
Unix Shell Scripting,0.0,0.0
