Use of Digital Object Identifier for World,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,59.0,8.149171270718233,6.681766704416761,1.4674045663014716
3,53.0,7.320441988950275,5.436013590033975,1.8844283989162998
4,29.0,4.005524861878453,3.397508493771234,0.6080163681072195
5,63.0,8.701657458563536,7.361268403171008,1.3403890553925288
6,35.0,4.834254143646409,3.6240090600226504,1.2102450836237586
7,43.0,5.939226519337017,3.6240090600226504,2.315217459314366
8,50.0,6.906077348066299,3.057757644394111,3.848319703672188
9,34.0,4.696132596685083,2.7180067950169877,1.9781258016680954
10 (All the time),86.0,11.878453038674033,6.681766704416761,5.196686334257272
