Number of software developers per projects for United States,Count,Percentage
0.0,5,3.7037037037037033
0.5,1,0.7407407407407408
1.0,24,17.77777777777778
1.5,1,0.7407407407407408
2.0,30,22.22222222222222
3.0,30,22.22222222222222
4.0,9,6.666666666666667
5.0,12,8.88888888888889
6.0,3,2.2222222222222223
7.0,3,2.2222222222222223
8.0,4,2.9629629629629632
10.0,6,4.444444444444445
12.0,1,0.7407407407407408
15.0,2,1.4814814814814816
20.0,2,1.4814814814814816
30.0,1,0.7407407407407408
32.0,1,0.7407407407407408
