Programming languages for South Africa,Count,Percentage
R,2.0,100.0
Python,1.0,50.0
,0.0,0.0
SQL,0.0,0.0
Perl,0.0,0.0
PHP,0.0,0.0
Ruby,0.0,0.0
Rust,0.0,0.0
Scala,0.0,0.0
Smalltalk,0.0,0.0
Swift,0.0,0.0
Assembly,0.0,0.0
TypeScript,0.0,0.0
VB.NET,0.0,0.0
VBA,0.0,0.0
Visual Basic,0.0,0.0
other. What programming languages do you use at work? Please select all that apply. ,0.0,0.0
CUDA,0.0,0.0
FORTRAN,0.0,0.0
"Markup languages (HTML, markdown,..)",0.0,0.0
Objective-C,0.0,0.0
Matlab,0.0,0.0
Lua,0.0,0.0
Julia,0.0,0.0
C,0.0,0.0
C#,0.0,0.0
C++,0.0,0.0
Clojure,0.0,0.0
CoffeeScript,0.0,0.0
Common Lisp,0.0,0.0
Dart,0.0,0.0
Elixir,0.0,0.0
Erlang,0.0,0.0
F#,0.0,0.0
Fortran,0.0,0.0
Go,0.0,0.0
Groovy,0.0,0.0
Hack,0.0,0.0
Haskell,0.0,0.0
Java,0.0,0.0
JavaScript,0.0,0.0
Unix Shell Scripting,0.0,0.0
