in which field for Australia,Count,Percentage
SQ017. Please select the discipline in which you work. Please select all that apply. ,12.0,37.5
SQ003. Please select the discipline in which you work. Please select all that apply. ,7.0,21.875
SQ022. Please select the discipline in which you work. Please select all that apply. ,6.0,18.75
SQ002. Please select the discipline in which you work. Please select all that apply. ,6.0,18.75
SQ008. Please select the discipline in which you work. Please select all that apply. ,6.0,18.75
SQ013. Please select the discipline in which you work. Please select all that apply. ,6.0,18.75
SQ011. Please select the discipline in which you work. Please select all that apply. ,5.0,15.625
SQ004. Please select the discipline in which you work. Please select all that apply. ,5.0,15.625
SQ018. Please select the discipline in which you work. Please select all that apply. ,5.0,15.625
SQ014. Please select the discipline in which you work. Please select all that apply. ,4.0,12.5
SQ015. Please select the discipline in which you work. Please select all that apply. ,4.0,12.5
SQ012. Please select the discipline in which you work. Please select all that apply. ,4.0,12.5
SQ006. Please select the discipline in which you work. Please select all that apply. ,4.0,12.5
SQ005. Please select the discipline in which you work. Please select all that apply. ,4.0,12.5
SQ010. Please select the discipline in which you work. Please select all that apply. ,3.0,9.375
SQ009. Please select the discipline in which you work. Please select all that apply. ,3.0,9.375
SQ016. Please select the discipline in which you work. Please select all that apply. ,2.0,6.25
SQ020. Please select the discipline in which you work. Please select all that apply. ,2.0,6.25
SQ023. Please select the discipline in which you work. Please select all that apply. ,2.0,6.25
SQ007. Please select the discipline in which you work. Please select all that apply. ,1.0,3.125
SQ019. Please select the discipline in which you work. Please select all that apply. ,1.0,3.125
SQ021. Please select the discipline in which you work. Please select all that apply. ,1.0,3.125
MATERIALS SCIENCE AND TECHNOLOGY,0.0,0.0
CHEMICAL ENGINEERING,0.0,0.0
DESIGN AND MANUFACTURING,0.0,0.0
BIOMEDICAL ENGINEERING,0.0,0.0
,0.0,0.0
MECHANICAL ENGINEERING,0.0,0.0
ENVIRONMENTAL ENGINEERING,0.0,0.0
FLUID MECHANICS,0.0,0.0
INDUSTRIAL ENGINEERING,0.0,0.0
MINING AND MINERAL PROCESSING,0.0,0.0
NUCLEAR ENGINEERING,0.0,0.0
Politics,0.0,0.0
Marketing,0.0,0.0
Materials Technology,0.0,0.0
Mathematics,0.0,0.0
Mechanical Engineering,0.0,0.0
Medicine,0.0,0.0
Middle Eastern and African Studies,0.0,0.0
Music,0.0,0.0
Nursing,0.0,0.0
Ophthalmics,0.0,0.0
Pharmacology & Pharmacy,0.0,0.0
Philosophy,0.0,0.0
Physics and Astronomy,0.0,0.0
Physiotherapy,0.0,0.0
Psychology,0.0,0.0
FOREST ENGINEERING,0.0,0.0
Robotics,0.0,0.0
Russian & East European Languages,0.0,0.0
Social Policy,0.0,0.0
Social Work,0.0,0.0
Sociology,0.0,0.0
Sports Science,0.0,0.0
Theology & Religious Studies,0.0,0.0
Town & Country Planning and Landscape Design,0.0,0.0
Veterinary Medicine,0.0,0.0
Youth Work,0.0,0.0
CIVIL ENGINEERING,0.0,0.0
STRUCTURAL ENGINEERING,0.0,0.0
AGRICULTURAL ENGINEERING,0.0,0.0
FUEL AND ENERGY TECHNOLOGY,0.0,0.0
ELECTRICAL AND ELECTRONIC ENGINEERING,0.0,0.0
Librarianship & Information Management,0.0,0.0
08 Information and Computing Sciences,0.0,0.0
FOOD SCIENCE AND TECHNOLOGY,0.0,0.0
PSYCHOLOGY,0.0,0.0
LIFE SCIENCES RESEARCH RELATED TO HUMAN HEALTH AND DISEASE,0.0,0.0
OTHER STUDIES IN NATURAL SCIENCES AND ENGINEERING,0.0,0.0
SOCIAL SCIENCES AND HUMANITIES,0.0,0.0
HEALTH SCIENCES,0.0,0.0
01 Mathematical Sciences,0.0,0.0
02 Physical Sciences,0.0,0.0
03 Chemical Sciences,0.0,0.0
04 Earth Sciences,0.0,0.0
05 Environmental Sciences,0.0,0.0
06 Biological Sciences,0.0,0.0
07 Agricultural and Veterinary Sciences,0.0,0.0
09 Engineering,0.0,0.0
BIOCHEMISTRY,0.0,0.0
10 Technology,0.0,0.0
11 Medical and Health Sciences,0.0,0.0
12 Built Environment and Design,0.0,0.0
13 Education,0.0,0.0
14 Economics,0.0,0.0
"15 Commerce, Management, Tourism and Services",0.0,0.0
16 Studies in Human Society,0.0,0.0
17 Psychology and Cognitive Sciences,0.0,0.0
18 Law and Legal Studies,0.0,0.0
19 Studies in Creative Arts and Writing,0.0,0.0
"20 Language, Communication and Culture",0.0,0.0
21 History and Archaeology,0.0,0.0
22 Philosophy and Religious Studies,0.0,0.0
ANIMAL BIOLOGY,0.0,0.0
MOLECULAR BIOLOGY,0.0,0.0
ROBOTICS,0.0,0.0
ORGANIC CHEMISTRY,0.0,0.0
INFORMATION TECHNOLOGY,0.0,0.0
ARTIFICIAL INTELLIGENCE,0.0,0.0
PURE MATHEMATICS,0.0,0.0
APPLIED MATHEMATICS,0.0,0.0
STATISTICS AND PROBABILITY,0.0,0.0
PHYSICS,0.0,0.0
THEORETICAL PHYSICS AND CHEMISTRY,0.0,0.0
ASTRONOMY AND ASTROPHYSICS,0.0,0.0
SPACE SCIENCE,0.0,0.0
CONDENSED MATTERPHYSICS,0.0,0.0
PHYSICAL CHEMISTRY,0.0,0.0
NALYTICAL CHEMISTRY,0.0,0.0
INORGANIC CHEMISTRY,0.0,0.0
POLYMER CHEMISTRY,0.0,0.0
MICROBIOLOGY,0.0,0.0
EARTH SCIENCE,0.0,0.0
GEOGRAPHICAL INFORMATION,0.0,0.0
PHYSICAL GEOGRAPHY,0.0,0.0
GEOCHEMISTRY AND GEOCHRONOLOGY,0.0,0.0
GEOPHYSICS,0.0,0.0
ATMOSPHERIC SCIENCE,0.0,0.0
HYDROLOGY,0.0,0.0
OCEANOGRAPHY,0.0,0.0
EVOLUTION AND ECOLOGY,0.0,0.0
SOIL SCIENCE,0.0,0.0
PLANT AND TREE BIOLOGY,0.0,0.0
GENETICS,0.0,0.0
CELL BIOLOGY,0.0,0.0
Linguistics,0.0,0.0
French,0.0,0.0
Law,0.0,0.0
Land & Property Management,0.0,0.0
SQ028. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ029. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ030. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ031. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ032. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ033. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ034. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ035. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ036. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ037. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ038. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ039. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ040. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ041. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ042. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ043. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ044. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ045. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ046. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ047. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ048. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ049. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ050. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ027. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ026. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ025. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ012. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ002. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ003. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ004. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ005. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ006. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ007. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ008. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ009. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ010. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ011. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ013. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ024. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ014. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ015. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ016. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ017. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ018. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ019. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ020. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ021. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ022. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ023. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ051. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ052. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ053. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
English,0.0,0.0
Communication & Media Studies,0.0,0.0
Complementary Medicine,0.0,0.0
Computer Science,0.0,0.0
Counselling,0.0,0.0
Criminology,0.0,0.0
Dentistry,0.0,0.0
East & South Asian Studies,0.0,0.0
Economics,0.0,0.0
Education,0.0,0.0
Electrical & Electronic Engineering,0.0,0.0
Fashion,0.0,0.0
Civil Engineering,0.0,0.0
Food Science,0.0,0.0
SQ001. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
Geography & Environmental Sciences,0.0,0.0
Geology,0.0,0.0
General Engineering,0.0,0.0
German,0.0,0.0
History,0.0,0.0
"History of Art, Architecture & Design",0.0,0.0
"Hospitality, Leisure, Recreation & Tourism",0.0,0.0
Iberian Languages/Hispanic Studies,0.0,0.0
Classics & Ancient History,0.0,0.0
Chemistry,0.0,0.0
SQ054. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ065. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ055. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ056. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ057. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ058. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ059. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ060. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ061. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ062. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ063. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ064. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ001. Please select the discipline in which you work. Please select all that apply. ,0.0,0.0
Chemical Engineering,0.0,0.0
Accounting & Finance,0.0,0.0
Aeronautical & Manufacturing Engineering,0.0,0.0
Agriculture & Forestry,0.0,0.0
American Studies,0.0,0.0
Anatomy & Physiology,0.0,0.0
Anthropology,0.0,0.0
Architecture,0.0,0.0
Art & Design,0.0,0.0
Biological Sciences,0.0,0.0
Business & Management Studies,0.0,0.0
African languages,0.0,0.0
