Official job title for World,Count,Percentage
Research Software Engineer,57,6.506849315068493
Wissenschaftlicher Mitarbeiter,44,5.0228310502283104
Senior Research Software Engineer,20,2.28310502283105
Researcher,16,1.82648401826484
Professor,11,1.2557077625570776
Postdoctoral researcher,9,1.0273972602739725
Doktorand,8,0.91324200913242
Postdoc,8,0.91324200913242
Research Associate,8,0.91324200913242
wissenschaftlicher Mitarbeiter,7,0.7990867579908676
Ingénieur de recherche,7,0.7990867579908676
Assistant Professor,7,0.7990867579908676
Research Assistant,7,0.7990867579908676
Senior Research Scientist,7,0.7990867579908676
Wissenschaftler,6,0.684931506849315
Scientific Programmer,6,0.684931506849315
Research assistant,6,0.684931506849315
CEO,6,0.684931506849315
ingénieur de recherche,6,0.684931506849315
Research Scientist,6,0.684931506849315
Associate Professor,5,0.5707762557077625
PhD Student,5,0.5707762557077625
PhD student,5,0.5707762557077625
Senior Scientist,5,0.5707762557077625
Software engineer,5,0.5707762557077625
Software Engineer,5,0.5707762557077625
Research Engineer,4,0.45662100456621
Research Fellow,4,0.45662100456621
Data Scientist,4,0.45662100456621
PostDoc,4,0.45662100456621
Senior Research Programmer,4,0.45662100456621
Computational Scientist,4,0.45662100456621
Ingénieur de Recherche,4,0.45662100456621
Wissenschaftliche Mitarbeiterin,3,0.3424657534246575
Postdoctoral Fellow,3,0.3424657534246575
Research engineer,3,0.3424657534246575
research software engineer,3,0.3424657534246575
Software Scientist,3,0.3424657534246575
Research scientist,3,0.3424657534246575
Group Leader,3,0.3424657534246575
RSE,3,0.3424657534246575
Postdoctoral Researcher,3,0.3424657534246575
Scientific programmer,3,0.3424657534246575
Doctoral Candidate,3,0.3424657534246575
Assistant professor,3,0.3424657534246575
Senior Research Fellow,3,0.3424657534246575
Computer Scientist,3,0.3424657534246575
Informatiker,3,0.3424657534246575
Head of Research Software Engineering,3,0.3424657534246575
Scientific Software Developer,3,0.3424657534246575
PhD Candidate,3,0.3424657534246575
Research fellow,3,0.3424657534246575
Software Developer,3,0.3424657534246575
research scientist,2,0.228310502283105
Expert en calcul scientifique,2,0.228310502283105
software developer,2,0.228310502283105
senior research scientist,2,0.228310502283105
Computer Officer,2,0.228310502283105
Director,2,0.228310502283105
Softwareentwickler,2,0.228310502283105
Research software engineer,2,0.228310502283105
Sr Research Software Engineer ,2,0.228310502283105
Bioinformatician,2,0.228310502283105
PhD,2,0.228310502283105
Data Analyst,2,0.228310502283105
Akademischer Rat,2,0.228310502283105
eScience Research Engineer,2,0.228310502283105
Technical Lead,2,0.228310502283105
Lecturer,2,0.228310502283105
Senior scientist,2,0.228310502283105
Scientist,2,0.228310502283105
Senior researcher,2,0.228310502283105
Scientific Software Engineer,2,0.228310502283105
Junior Research Group Leader,2,0.228310502283105
Postdoctoral Research Fellow,2,0.228310502283105
Abteilungsleiter,2,0.228310502283105
Software developer,2,0.228310502283105
Senior Scientific Software Engineer,2,0.228310502283105
Head of Scientific Data Services,2,0.228310502283105
Applications Consultant,2,0.228310502283105
Senior Software Developer,2,0.228310502283105
Professional Research Assistant,2,0.228310502283105
Senior Bioinformatics Software Developer,2,0.228310502283105
postdoc,2,0.228310502283105
Software Architect,2,0.228310502283105
Scientific developer,2,0.228310502283105
scientist,2,0.228310502283105
Associate professor,2,0.228310502283105
Senior Research Software Developer,2,0.228310502283105
Senior Research Associate,2,0.228310502283105
Staff Scientist,2,0.228310502283105
Senior Software Engineer,2,0.228310502283105
Doctoral student,2,0.228310502283105
Research Programmer,2,0.228310502283105
Doctoral Researcher,2,0.228310502283105
researcher,2,0.228310502283105
Doctoral researcher,2,0.228310502283105
Postdoctoral Research Associate,2,0.228310502283105
Team Lead Helmholtz AI For Matter,1,0.1141552511415525
Research Data Engineer,1,0.1141552511415525
Wissenchaftlicher Mitarbeiter (PostDoc),1,0.1141552511415525
Director of research engineering,1,0.1141552511415525
 Scientific Software Developer,1,0.1141552511415525
Studentische Hilfskraft,1,0.1141552511415525
Project Manager,1,0.1141552511415525
Wissenschaftliche Hilfskraft,1,0.1141552511415525
System Engineer,1,0.1141552511415525
Systems consultant,1,0.1141552511415525
Head of Department ,1,0.1141552511415525
Wissenschaftliche Mitarbeit für Digital Humanities und Forschungs-Software-Entwicklung für digitale Editionen,1,0.1141552511415525
Team leader,1,0.1141552511415525
"Technical Director, Mandala",1,0.1141552511415525
HPC Scientist,1,0.1141552511415525
Full-Stack-Developer,1,0.1141552511415525
project researcher,1,0.1141552511415525
Teamleiter,1,0.1141552511415525
Lecturer in Computer Science,1,0.1141552511415525
postdoctoral researcher,1,0.1141552511415525
Project employee ,1,0.1141552511415525
Software developer/data scientist,1,0.1141552511415525
Data Analyst (Text and Language Data),1,0.1141552511415525
Academy Research Fellow,1,0.1141552511415525
University Academic Fellow,1,0.1141552511415525
AI Consultant,1,0.1141552511415525
wissenschaftlicher Softwareentwickler,1,0.1141552511415525
Software Entwickler,1,0.1141552511415525
Lead Scientific Software Engineer,1,0.1141552511415525
Senior Learning Designer,1,0.1141552511415525
Wissenschaftlicher Mittarbeiter ,1,0.1141552511415525
Software Architect PANGAEA,1,0.1141552511415525
Wiss. Angestellter,1,0.1141552511415525
Software Development Coordinator,1,0.1141552511415525
"Wissenschaftlicher Mitarbeiter, Strahlenschutzbeauftragter",1,0.1141552511415525
