Number of software developers per projects for United Kingdom,Count,Percentage
0.0,4,1.9900497512437811
1.0,66,32.83582089552239
1.5,1,0.4975124378109453
2.0,55,27.363184079601986
2.5,1,0.4975124378109453
3.0,25,12.437810945273633
4.0,7,3.482587064676617
5.0,14,6.965174129353234
6.0,8,3.9800995024875623
7.0,1,0.4975124378109453
8.0,3,1.4925373134328357
9.0,2,0.9950248756218906
10.0,5,2.4875621890547266
15.0,2,0.9950248756218906
20.0,1,0.4975124378109453
30.0,1,0.4975124378109453
35.0,1,0.4975124378109453
40.0,1,0.4975124378109453
50.0,1,0.4975124378109453
60.0,1,0.4975124378109453
300.0,1,0.4975124378109453
