Programming languages for World,Count,Percentage
Python,33.0,60.0
R,19.0,34.54545454545455
JavaScript,17.0,30.909090909090907
SQL,16.0,29.09090909090909
C++,13.0,23.636363636363637
Matlab,11.0,20.0
C,6.0,10.909090909090908
Fortran,6.0,10.909090909090908
Perl,5.0,9.090909090909092
PHP,3.0,5.454545454545454
Ruby,3.0,5.454545454545454
Java,3.0,5.454545454545454
Julia,3.0,5.454545454545454
VBA,2.0,3.6363636363636362
C#,2.0,3.6363636363636362
Go,2.0,3.6363636363636362
Scala,1.0,1.8181818181818181
Erlang,1.0,1.8181818181818181
Elixir,1.0,1.8181818181818181
CoffeeScript,1.0,1.8181818181818181
Swift,0.0,0.0
Smalltalk,0.0,0.0
TypeScript,0.0,0.0
Rust,0.0,0.0
VB.NET,0.0,0.0
Assembly,0.0,0.0
Objective-C,0.0,0.0
Lua,0.0,0.0
Haskell,0.0,0.0
Hack,0.0,0.0
Groovy,0.0,0.0
F#,0.0,0.0
Dart,0.0,0.0
Common Lisp,0.0,0.0
Clojure,0.0,0.0
Visual Basic,0.0,0.0
