Programming languages for Netherlands,Count,Percentage
Python,44.0,81.48148148148148
JavaScript,22.0,40.74074074074074
C++,18.0,33.33333333333333
SQL,15.0,27.77777777777778
R,12.0,22.22222222222222
Java,11.0,20.37037037037037
C,8.0,14.814814814814813
PHP,5.0,9.25925925925926
TypeScript,5.0,9.25925925925926
Matlab,4.0,7.4074074074074066
Ruby,2.0,3.7037037037037033
Groovy,2.0,3.7037037037037033
Julia,2.0,3.7037037037037033
Fortran,2.0,3.7037037037037033
Scala,2.0,3.7037037037037033
Rust,2.0,3.7037037037037033
Perl,1.0,1.8518518518518516
Swift,1.0,1.8518518518518516
Smalltalk,0.0,0.0
VB.NET,0.0,0.0
VBA,0.0,0.0
Assembly,0.0,0.0
Objective-C,0.0,0.0
Lua,0.0,0.0
Haskell,0.0,0.0
Hack,0.0,0.0
Go,0.0,0.0
F#,0.0,0.0
Erlang,0.0,0.0
Elixir,0.0,0.0
Dart,0.0,0.0
Common Lisp,0.0,0.0
CoffeeScript,0.0,0.0
Clojure,0.0,0.0
C#,0.0,0.0
Visual Basic,0.0,0.0
