field of work for Australia,Count,Percentage
08 Information and Computing Sciences,45,45.45454545454545
02 Physical Sciences,36,36.36363636363637
06 Biological Sciences,34,34.34343434343434
10 Technology,26,26.262626262626267
01 Mathematical Sciences,24,24.242424242424242
11 Medical and Health Sciences,24,24.242424242424242
09 Engineering,23,23.232323232323232
04 Earth Sciences,22,22.22222222222222
05 Environmental Sciences,21,21.21212121212121
03 Chemical Sciences,10,10.1010101010101
07 Agricultural and Veterinary Sciences,10,10.1010101010101
13 Education,9,9.090909090909092
"20 Language, Communication and Culture",5,5.05050505050505
16 Studies in Human Society,4,4.040404040404041
19 Studies in Creative Arts and Writing,3,3.0303030303030303
21 History and Archaeology,3,3.0303030303030303
22 Philosophy and Religious Studies,3,3.0303030303030303
17 Psychology and Cognitive Sciences,3,3.0303030303030303
"15 Commerce, Management, Tourism and Services",2,2.0202020202020203
14 Economics,2,2.0202020202020203
12 Built Environment and Design,2,2.0202020202020203
18 Law and Legal Studies,1,1.0101010101010102
